BloatedClass,reflection.ConcreteClass,CLASS
BloatedClass,reflection.ConcreteClass$ConcreteClassDefaultClass,CLASS
BloatedClass,reflection.BaseClass,CLASS
BloatedClass,reflection.ConcreteClass$ConcreteClassProtectedClass,CLASS
BloatedClass,reflection.BaseClass$BaseClassInnerClass,CLASS
UsedClass,reflection.BaseInterface,INTERFACE
BloatedClass,reflection.MainReflection,CLASS
UsedClass,reflection.BaseClass$BaseClassMemberEnum,ENUM
BloatedClass,reflection.ConcreteClass$ConcreteClassPrivateClass,CLASS
UsedClass,reflection.ConcreteClass$ConcreteClassPublicEnum,ENUM
UsedClass,reflection.ConcreteClass$ConcreteClassPublicInterface,INTERFACE
UsedClass,reflection.ConcreteClass$ConcreteClassDefaultEnum,ENUM
BloatedClass,reflection.ConcreteClass$ConcreteClassPublicClass,CLASS
UsedClass,bag.BagClass,CLASS
BloatedClass,bag.MainBag,CLASS
BloatedClass,lambda.LambdaScoping$FirstLevel,CLASS
UsedClass,lambda.OrderMatcher,INTERFACE
UsedClass,lambda.OrderMatcherWithFees,INTERFACE
BloatedClass,lambda.LambdaScoping,CLASS
UsedClass,lambda.OrderBookAnalyser,CONSTANT
BloatedClass,neverused.Main2,CLASS
BloatedClass,neverused.OtherClass,CLASS
BloatedClass,neverused.UntestedClass,CLASS
UsedClass,common.Order,CLASS
UsedClass,common.Order$Type,ENUM
UsedClass,common.Order$Market,ENUM
UsedClass,annotations.ObjectToJsonConverter,CLASS
UsedClass,annotations.Person,CLASS
UsedClass,annotations.Init,ANNOTATION
UsedClass,annotations.JsonElement,ANNOTATION
UsedClass,annotations.JsonSerializationException,CLASS
UsedClass,annotations.JsonSerializable,ANNOTATION
UsedClass,calc.CalculatorInt,INTERFACE
BloatedClass,calc.MainCalculator,CLASS
UsedClass,calc.CalculatorB,CLASS
BloatedClass,calc.StaticCl,CLASS
UsedClass,calc.Calculator,CLASS
BloatedClass,interfaces.MultiAlarmCar,CLASS
BloatedClass,interfaces.Application,CLASS
UsedClass,interfaces.Car,CLASS
UsedClass,interfaces.Vehicle,INTERFACE
UsedClass,interfaces.Alarm,INTERFACE
UsedClass,interfaces.Motorbike,CLASS
UsedClass,defaultmethods.TradingApi,INTERFACE
UsedClass,defaultmethods.MyTradingApi,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySetIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$ValueView,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$KeySet,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.DualTreeBidiMap$ViewMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySetIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$BidiMapIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$Inverse,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$EntrySet,CLASS
UsedClass,org.apache.commons.collections4.bidimap.UnmodifiableSortedBidiMap,CONSTANT
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.DualTreeBidiMap$BidiOrderedMapIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.DualTreeBidiMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$Node,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.DualLinkedHashBidiMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$ValuesIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.DualHashBidiMap,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractBidiMapDecorator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$EntryView,CLASS
UsedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement,ENUM
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$1,CLASS
UsedClass,org.apache.commons.collections4.bidimap.UnmodifiableBidiMap,CONSTANT
BloatedClass,org.apache.commons.collections4.bidimap.AbstractSortedBidiMapDecorator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewIterator,CLASS
UsedClass,org.apache.commons.collections4.bidimap.UnmodifiableOrderedBidiMap,CONSTANT
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapEntryIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractOrderedBidiMapDecorator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$View,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$MapEntry,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$ViewMapIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapEntryIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$InverseEntryView,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$Values,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$InverseViewMapIterator,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.TreeBidiMap$KeyView,CLASS
BloatedClass,org.apache.commons.collections4.bidimap.AbstractDualBidiMap$View,CLASS
